,Ontology Term,Preferred Name,odds ratio,exact p-value,adj p-value,Reference Genes,User/Study Genes
131,GO:0010602,Regulation Of 1-aminocyclopropane-1-carboxylate Metabolic Process,16.33407548194407,3.2249408166590883e-07,5.22831314215943e-06,23,8
132,GO:0010203,Response To Very Low Fluence Red Light Stimulus,8.643415551839466,3.795356955036889e-07,6.106814950209732e-06,50,11
133,GO:0009266,Response To Temperature Stimulus,2.5426748247395143,4.801878663678924e-07,7.668671895726041e-06,524,40
134,GO:0009787,Regulation Of Abscisic Acid-activated Signaling Pathway,2.680572236778038,5.057946192452889e-07,8.017781371740136e-06,449,36
135,GO:0009658,Chloroplast Organization,1.6662398351959726,5.488690498021796e-07,8.636615930710767e-06,2370,121
136,GO:0010038,Response To Metal Ion,3.189981525025193,6.301719095322939e-07,9.843561214592035e-06,287,27
137,GO:0006417,Regulation Of Translation,0.3784443494268003,6.767176403372117e-07,1.0494027176243718e-05,1621,20
138,GO:0017006,Protein-tetrapyrrole Linkage,8.025815217391305,7.096781421705085e-07,1.0925980030538765e-05,53,11
139,GO:1905034,Regulation Of Antifungal Innate Immune Response,4.382793356928941,8.121931884320599e-07,1.2414953023175772e-05,144,18
140,GO:0009638,Phototropism,2.597914839057966,9.328024668961253e-07,1.4157427511756795e-05,475,37
141,GO:0009793,Embryo Development Ending In Seed Dormancy,1.430115689991651,1.0769565570631521e-06,1.623019036700807e-05,5193,228
142,GO:1902000,Homogentisate Catabolic Process,17.86102062975027,1.1473913618224217e-06,1.7170751848251625e-05,19,7
143,GO:0009845,Seed Germination,2.052123213770746,1.367834745870863e-06,2.0327544140025322e-05,945,59
144,GO:0010161,Red Light Signaling Pathway,3.048921943231441,1.392910344210057e-06,2.0557435424893258e-05,299,27
145,GO:0072598,Protein Localization To Chloroplast,8.510368559268315,1.443917965028223e-06,2.1164277021646558e-05,46,10
146,GO:0006032,Chitin Catabolic Process,3.3622137404580155,1.8232168759249016e-06,2.654206880598156e-05,233,23
147,GO:0010100,Negative Regulation Of Photomorphogenesis,2.99375423675374,1.9110731920744224e-06,2.763308534485989e-05,304,27
148,GO:0009785,Blue Light Signaling Pathway,2.6343903772553308,2.0595432357438497e-06,2.9580016942898244e-05,418,33
149,GO:0009873,Ethylene-activated Signaling Pathway,1.9454506021773705,2.1603784225498976e-06,3.082139882837854e-05,1095,65
150,GO:0046777,Protein Autophosphorylation,1.4614534603115819,2.2205981389208754e-06,3.147072859132896e-05,4184,188
151,GO:0045841,Negative Regulation Of Mitotic Metaphase/anaphase Transition,9.50614358763041,2.256652593316256e-06,3.177129309011045e-05,38,9
152,GO:2001020,Regulation Of Response To DNA Damage Stimulus,15.309174809989143,2.504134426507414e-06,3.502514818775076e-05,21,7
153,GO:0051646,Mitochondrion Localization,6.878843167701864,2.602852175669331e-06,3.6169504259301096e-05,60,11
154,GO:0042539,Hypotonic Salinity Response,4.460685219542363,2.6406370056804614e-06,3.645782704616895e-05,126,16
155,GO:0009267,Cellular Response To Starvation,6.74120652173913,3.0845242868465866e-06,4.2313345986228816e-05,61,11
156,GO:0051085,Chaperone Cofactor-dependent Protein Refolding,2.4648591336881776,3.1677264049433137e-06,4.317792679349485e-05,485,36
157,GO:0071333,Cellular Response To Glucose Stimulus,7.659060038033143,3.241922758369423e-06,4.390958672728206e-05,50,10
158,GO:0051502,Diterpene Phytoalexin Biosynthetic Process,2.889185483012035,3.5136712209006985e-06,4.7290920834764115e-05,314,27
159,GO:0051973,Positive Regulation Of Telomerase Activity,8.892686303026055,3.5749553712213103e-06,4.781502809008502e-05,40,9
160,GO:0045892,"Negative Regulation Of Transcription, DNA-templated",1.5219289893121573,3.936596922707487e-06,5.232495288567716e-05,3140,147
161,GO:0006808,Regulation Of Nitrogen Utilization,2.6310645171029194,4.195363179043948e-06,5.542022964909907e-05,393,31
162,GO:0048731,System Development,2.9031000868163215,4.857997776082828e-06,6.377984810317333e-05,301,26
163,GO:2000033,Regulation Of Seed Dormancy Process,2.4702300261618153,5.693707114237938e-06,7.429593429554382e-05,457,34
164,GO:0006526,Arginine Biosynthetic Process,6.241636473429952,5.879196364109262e-06,7.625139526784132e-05,65,11
165,GO:0016114,Terpenoid Biosynthetic Process,1.9479289134099183,6.24135878647457e-06,8.04608903798529e-05,992,59
166,GO:1900057,Positive Regulation Of Leaf Senescence,3.096280778281582,6.368745220475487e-06,8.161146569950624e-05,251,23
167,GO:0009686,Gibberellin Biosynthetic Process,3.1847657836951098,6.654152737631663e-06,8.476123130078427e-05,234,22
168,GO:0010201,Response To Continuous Far Red Light Stimulus By The High-irradiance Response System,6.1280978260869565,6.853210861431009e-06,8.617717770291712e-05,66,11
169,GO:0046373,L-arabinose Metabolic Process,12.607220412595005,6.8557576085709926e-06,8.617717770291712e-05,24,7
170,GO:0002240,Response To Molecule Of Oomycetes Origin,3.7054983125547025,6.886120274391975e-06,8.617717770291712e-05,167,18
171,GO:0009637,Response To Blue Light,2.3451768715544046,7.191990903022982e-06,8.948174728179758e-05,522,37
172,GO:0071456,Cellular Response To Hypoxia,1.7376307587240174,7.497831809306929e-06,9.27477460804441e-05,1557,83
173,GO:0060320,Rejection Of Self Pollen,1.7352450741802319,7.5966804837944755e-06,9.343043813402401e-05,1559,83
174,GO:2000693,Positive Regulation Of Seed Maturation,6.807751516797971,7.99198130043339e-06,9.773051418815687e-05,55,10
175,GO:0005513,Detection Of Calcium Ion,3.238088261470842,8.443880715265974e-06,0.00010266991324243854,220,21
176,GO:0009743,Response To Carbohydrate,5.9129719679633865,9.23027075707485e-06,0.00011159762384259987,68,11
177,GO:0090342,Regulation Of Cell Aging,6.659697860930986,9.45318700241005e-06,0.00011313763517620785,56,10
178,GO:0009835,Fruit Ripening,1.8892927317283374,9.46338163389776e-06,0.00011313763517620785,1073,62
179,GO:0010187,Negative Regulation Of Seed Germination,2.038174506312399,1.0308609620418336e-05,0.00012255791437608467,805,50
180,GO:0000272,Polysaccharide Catabolic Process,2.9911095503022014,1.0641073723659514e-05,0.0001258115898819412,259,23
181,GO:0071472,Cellular Response To Salt Stress,2.374496427898619,1.1072747146914441e-05,0.00013019603788130168,488,35
182,GO:0009617,Response To Bacterium,1.6650818349469803,1.1236754955338205e-05,0.00013140248964165987,1778,91
183,GO:0010200,Response To Chitin,1.611025641025641,1.1741051554696244e-05,0.00013655353438614108,2078,103
184,GO:1903648,Positive Regulation Of Chlorophyll Catabolic Process,4.1430535540981674,1.1887935174780435e-05,0.00013751449337313584,126,15
185,GO:0016050,Vesicle Organization,11.279944568261044,1.2324515224054012e-05,0.00014028969457167864,26,7
186,GO:0009448,Gamma-aminobutyric Acid Metabolic Process,11.279944568261044,1.2324515224054012e-05,0.00014028969457167864,26,7
187,GO:0033354,Chlorophyll Cycle,11.279944568261044,1.2324515224054012e-05,0.00014028969457167864,26,7
188,GO:1902196,Isovaleryl-CoA(4-) Catabolic Process,25.503255561584375,1.253272639029712e-05,0.00014115807618545178,11,5
189,GO:1902198,3-methylbut-2-enoyl-CoA(4-) Metabolic Process,25.503255561584375,1.253272639029712e-05,0.00014115807618545178,11,5
190,GO:0006541,Glutamine Metabolic Process,6.382097256180386,1.3077970879758576e-05,0.0001457648837639758,58,10
191,GO:1902448,Positive Regulation Of Shade Avoidance,6.382097256180386,1.3077970879758576e-05,0.0001457648837639758,58,10
192,GO:0048544,Recognition Of Pollen,1.970984829102349,1.4300746641679053e-05,0.00015856786431706307,864,52
193,GO:0035556,Intracellular Signal Transduction,1.6385509038596577,1.4544513253672219e-05,0.000160439476097209,1885,95
194,GO:0009657,Plastid Organization,3.6456768598848077,1.4803732073497084e-05,0.00016202775364762125,160,17
195,GO:0009739,Response To Gibberellin,1.6186518007107216,1.4839925100436337e-05,0.00016202775364762125,2008,100
196,GO:0012501,Programmed Cell Death,2.8441836982878708,1.4946587314159919e-05,0.00016236394341270167,283,24
197,GO:0042631,Cellular Response To Water Deprivation,2.460551954928623,1.567049773097265e-05,0.00016936800577919934,418,31
198,GO:0010072,Primary Shoot Apical Meristem Specification,2.292942334516306,1.5846889703333322e-05,0.00017041378876951412,533,37
199,GO:0006520,Cellular Amino Acid Metabolic Process,3.068174386920981,1.7741357887470576e-05,0.00018983252939593515,231,21
200,GO:1990573,Potassium Ion Import Across Plasma Membrane,3.4289468388593614,1.7925927100739158e-05,0.00019085315420687462,179,18
201,GO:0031349,Positive Regulation Of Defense Response,2.180457700309446,1.864990586447043e-05,0.00019757821064339963,604,40
202,GO:0010225,Response To UV-C,8.165951669834374,2.1049404474389526e-05,0.0002219001259861753,38,8
203,GO:0040008,Regulation Of Growth,1.4773256487793571,2.1356771741591056e-05,0.00022403672317159245,3139,143
204,GO:0042127,Regulation Of Cell Population Proliferation,2.8460750342983783,2.1988345328916857e-05,0.00022953687318966865,271,23
205,GO:0009862,"Systemic Acquired Resistance, Salicylic Acid Mediated Signaling Pathway",2.2811694190982554,2.2679682060735952e-05,0.00023560446412609193,521,36
206,GO:0051205,Protein Insertion Into Membrane,5.890957724698556,2.4019691422673552e-05,0.00024831951519092464,62,10
207,GO:0009863,Salicylic Acid Mediated Signaling Pathway,2.0352441031267143,2.5822007325944424e-05,0.0002656687292188513,725,45
208,GO:0009813,Flavonoid Biosynthetic Process,1.6702768251834819,2.6864235387384947e-05,0.0002750692044449942,1596,82
209,GO:1900618,Regulation Of Shoot System Morphogenesis,inf,3.177451451687294e-05,0.000319236906413653,3,3
210,GO:0015970,Guanosine Tetraphosphate Biosynthetic Process,inf,3.177451451687294e-05,0.000319236906413653,3,3
211,GO:0033542,"Fatty Acid Beta-oxidation, Unsaturated, Even Number",inf,3.177451451687294e-05,0.000319236906413653,3,3
212,GO:0033539,Fatty Acid Beta-oxidation Using Acyl-CoA Dehydrogenase,inf,3.177451451687294e-05,0.000319236906413653,3,3
213,GO:0009826,Unidimensional Cell Growth,1.6938749426197783,3.19254135551218e-05,0.00031925413555121797,1459,76
214,GO:0016553,Base Conversion Or Substitution Editing,19.127102550189907,3.310487359583313e-05,0.0003295089743957344,13,5
215,GO:0009555,Pollen Development,1.4744441042887715,3.487453986067494e-05,0.00034551627454557576,2989,136
216,GO:0071482,Cellular Response To Light Stimulus,6.2645795269369415,3.999037216582134e-05,0.00039437509877814596,53,9
217,GO:0002237,Response To Molecule Of Bacterial Origin,1.8218435593122981,4.104166756070342e-05,0.0004028860944032354,1056,59
218,GO:0009620,Response To Fungus,1.684689362470652,4.168887359434268e-05,0.0004073707282734856,1447,75
219,GO:0060548,Negative Regulation Of Cell Death,0.577561319241631,4.253150548288946e-05,0.0004137155533335611,2670,50
220,GO:0006521,Regulation Of Cellular Amino Acid Metabolic Process,8.92956026058632,4.2878040906679504e-05,0.0004151991291416024,31,7
221,GO:0035065,Regulation Of Histone Acetylation,4.884109168241966,4.4565284475237865e-05,0.00042959328277931996,80,11
222,GO:0071732,Cellular Response To Nitric Oxide,7.204995927233234,4.5391789554333466e-05,0.00043559833922095795,42,8
223,GO:0050826,Response To Freezing,2.1899859394706467,4.787849812588356e-05,0.00045741065173835187,526,35
224,GO:0043489,RNA Stabilization,11.478561736770692,4.850631908904843e-05,0.0004613489904469495,22,6
225,GO:0000302,Response To Reactive Oxygen Species,2.4741567815942123,5.3152727668967944e-05,0.0005032523750357136,362,27
226,GO:0006574,Valine Catabolic Process,8.57230184581976,5.33823780995827e-05,0.0005032523750357136,32,7
227,GO:0010618,Aerenchyma Formation,5.992100229081548,5.420449663016409e-05,0.0005083851414798838,55,9
228,GO:0043086,Negative Regulation Of Catalytic Activity,3.7973097537671388,5.440196140135206e-05,0.0005083851414798838,127,14
229,GO:0051762,Sesquiterpene Biosynthetic Process,2.129053584497211,5.655193315127272e-05,0.0005259630802867856,571,37
230,GO:0097295,Morphine Biosynthetic Process,2.813134942826886,5.677451941413434e-05,0.0005259630802867856,250,21
231,GO:0006778,Porphyrin-containing Compound Metabolic Process,5.864556727957747,6.277389637038767e-05,0.0005765499494962644,56,9
232,GO:0015994,Chlorophyll Metabolic Process,5.864556727957747,6.277389637038767e-05,0.0005765499494962644,56,9
233,GO:0010230,Alternative Respiration,8.242524847573707,6.590186485416244e-05,0.0006026922683243915,33,7
