,Gene Accession,Gene Name,Ontology Term,Preferred Name,Evidence,Network URL
23,TRAESCSU02G069000,ATMYB2,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCSU02G069000&keyword=%220000072%22
24,TRAESCS3A02G413600,BT2,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3A02G413600&keyword=%220000072%22
25,TRAESCS3D02G408100,BT2,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3D02G408100&keyword=%220000072%22
26,TRAESCS3B02G574300,CAO,0000072,Grain hardness,GWAS_0-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3B02G574300&keyword=%220000072%22
27,TRAESCS3B02G574300,CAO,0000072,Grain hardness,GWAS_1-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3B02G574300&keyword=%220000072%22
28,TRAESCS5A02G545600,CKB3,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5A02G545600&keyword=%220000072%22
29,TRAESCS4A02G268500,COL16,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4A02G268500&keyword=%220000072%22
30,TRAESCS4B02G045700,COL16,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4B02G045700&keyword=%220000072%22
31,TRAESCS6D02G274100,COL7,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6D02G274100&keyword=%220000072%22
32,TRAESCS5A02G310000,DREB1B,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5A02G310000&keyword=%220000072%22
33,TRAESCS5A02G310700,DREB1F,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5A02G310700&keyword=%220000072%22
34,TRAESCS2D02G152200,EIF6-2,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2D02G152200&keyword=%220000072%22
35,TRAESCS2B02G279400,GATB,0000072,Grain hardness,GWAS_0-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2B02G279400&keyword=%220000072%22
36,TRAESCS4B02G206200,GLCAT14C,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4B02G206200&keyword=%220000072%22
37,TRAESCS2B02G244600,ICL,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2B02G244600&keyword=%220000072%22
38,TRAESCS1B02G451100,LHCB3,0000072,Grain hardness,GWAS_1-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS1B02G451100&keyword=%220000072%22
39,TRAESCS7B02G008400,MAX2,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7B02G008400&keyword=%220000072%22
40,TRAESCS7D02G106000,MAX2,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7D02G106000&keyword=%220000072%22
41,TRAESCS7A02G410700,MPK17,0000072,Grain hardness,GWAS_1-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7A02G410700&keyword=%220000072%22
42,TRAESCS7D02G403700,MPK17,0000072,Grain hardness,GWAS_1-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7D02G403700&keyword=%220000072%22
43,TRAESCS7D02G514800,MYB73,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7D02G514800&keyword=%220000072%22
44,TRAESCS2A02G101400,NAC031,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2A02G101400&keyword=%220000072%22
45,TRAESCS2D02G100900,NAC031,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2D02G100900&keyword=%220000072%22
46,TRAESCS2B02G118500,NAC031,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2B02G118500&keyword=%220000072%22
47,TRAESCS3A02G406000,NAC081,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3A02G406000&keyword=%220000072%22
48,TRAESCS6B02G236800,NBR1,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6B02G236800&keyword=%220000072%22
49,TRAESCS6A02G102400,NLP7,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6A02G102400&keyword=%220000072%22
50,TRAESCS3A02G105500,PHR1,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3A02G105500&keyword=%220000072%22
51,TRAESCS4B02G045900,PI4KA1,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4B02G045900&keyword=%220000072%22
52,TRAESCS5B02G500900,PTAC13,0000072,Grain hardness,GWAS_0-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5B02G500900&keyword=%220000072%22
53,TRAESCS5A02G487100,PTAC13,0000072,Grain hardness,GWAS_1-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5A02G487100&keyword=%220000072%22
54,TRAESCS5D02G501300,PTAC13,0000072,Grain hardness,GWAS_1-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5D02G501300&keyword=%220000072%22
55,TRAESCS4B02G299400,RAP2-2,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4B02G299400&keyword=%220000072%22
56,TRAESCS7A02G404300,SAP2,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7A02G404300&keyword=%220000072%22
57,TRAESCS7D02G397700,SAP2,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7D02G397700&keyword=%220000072%22
58,TRAESCS7B02G303900,SAP2,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7B02G303900&keyword=%220000072%22
59,TRAESCS6D02G043400,SKIP4,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6D02G043400&keyword=%220000072%22
60,TRAESCS7D02G117800,SS1,0000072,Grain hardness,GWAS_1-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7D02G117800&keyword=%220000072%22
61,TRAESCS4D02G145400,TCTP1,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4D02G145400&keyword=%220000072%22
62,TRAESCS5A02G220000,TIF3C2,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5A02G220000&keyword=%220000072%22
63,TRAESCS1A02G072000,TRAESCS1A02G072000,0000072,Grain hardness,GWAS_0-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS1A02G072000&keyword=%220000072%22
64,TRAESCS1B02G090500,TRAESCS1B02G090500,0000072,Grain hardness,GWAS_1-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS1B02G090500&keyword=%220000072%22
65,TRAESCS1B02G207300,TRAESCS1B02G207300,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS1B02G207300&keyword=%220000072%22
66,TRAESCS1B02G382000,TRAESCS1B02G382000,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS1B02G382000&keyword=%220000072%22
67,TRAESCS1D02G018400,TRAESCS1D02G018400,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS1D02G018400&keyword=%220000072%22
68,TRAESCS2A02G431500,TRAESCS2A02G431500,0000072,Grain hardness,GWAS_0-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2A02G431500&keyword=%220000072%22
69,TRAESCS2B02G278800,TRAESCS2B02G278800,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2B02G278800&keyword=%220000072%22
70,TRAESCS2B02G360400,TRAESCS2B02G360400,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2B02G360400&keyword=%220000072%22
71,TRAESCS2B02G542300,TRAESCS2B02G542300,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2B02G542300&keyword=%220000072%22
72,TRAESCS3B02G019900,TRAESCS3B02G019900,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3B02G019900&keyword=%220000072%22
73,TRAESCS3B02G485600,TRAESCS3B02G485600,0000072,Grain hardness,GWAS_1-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3B02G485600&keyword=%220000072%22
74,TRAESCS4A02G005500,TRAESCS4A02G005500,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4A02G005500&keyword=%220000072%22
75,TRAESCS4A02G105300,TRAESCS4A02G105300,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4A02G105300&keyword=%220000072%22
76,TRAESCS4A02G326400,TRAESCS4A02G326400,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4A02G326400&keyword=%220000072%22
77,TRAESCS4B02G299600,TRAESCS4B02G299600,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4B02G299600&keyword=%220000072%22
78,TRAESCS5A02G256700,TRAESCS5A02G256700,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5A02G256700&keyword=%220000072%22
79,TRAESCS5B02G152600,TRAESCS5B02G152600,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5B02G152600&keyword=%220000072%22
80,TRAESCS5D02G360600,TRAESCS5D02G360600,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5D02G360600&keyword=%220000072%22
81,TRAESCS5D02G549200,TRAESCS5D02G549200,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5D02G549200&keyword=%220000072%22
82,TRAESCS6A02G120600,TRAESCS6A02G120600,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6A02G120600&keyword=%220000072%22
83,TRAESCS6B02G056100,TRAESCS6B02G056100,0000072,Grain hardness,GWAS_0-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6B02G056100&keyword=%220000072%22
84,TRAESCS6B02G149000,TRAESCS6B02G149000,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6B02G149000&keyword=%220000072%22
85,TRAESCS6D02G370300,TRAESCS6D02G370300,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6D02G370300&keyword=%220000072%22
86,TRAESCS7A02G042500,TRAESCS7A02G042500,0000072,Grain hardness,GWAS_0-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7A02G042500&keyword=%220000072%22
87,TRAESCSU02G269500,TRAESCSU02G269500,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCSU02G269500&keyword=%220000072%22
88,TRAESCS2B02G613800,TULP5,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2B02G613800&keyword=%220000072%22
89,TRAESCS7A02G095300,WHY1,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7A02G095300&keyword=%220000072%22
90,TRAESCS4A02G395700,WHY1,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4A02G395700&keyword=%220000072%22
91,TRAESCS7D02G091500,WHY3,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7D02G091500&keyword=%220000072%22
92,TRAESCS3D02G289500,WRKY69,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3D02G289500&keyword=%220000072%22
93,TRAESCS3B02G324400,WRKY69,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3B02G324400&keyword=%220000072%22
94,TRAESCS6D02G207100,APRR1,0000088,Hessian fly damage,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6D02G207100&keyword=%220000088%22
95,TRAESCS6B02G253900,APRR1,0000088,Hessian fly damage,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6B02G253900&keyword=%220000088%22
96,TRAESCS4B02G115100,ARR14,0000088,Hessian fly damage,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4B02G115100&keyword=%220000088%22
97,TRAESCS3D02G141500,ATHB-15,0000088,Hessian fly damage,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3D02G141500&keyword=%220000088%22
98,TRAESCS2B02G461300,EPSIN1,0000088,Hessian fly damage,GWAS_1-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2B02G461300&keyword=%220000088%22
99,TRAESCS1D02G018400,TRAESCS1D02G018400,0000088,Hessian fly damage,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS1D02G018400&keyword=%220000088%22
100,TRAESCS5B02G534400,TRAESCS5B02G534400,0000088,Hessian fly damage,GWAS_1-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5B02G534400&keyword=%220000088%22
101,TRAESCS5D02G532100,TRAESCS5D02G532100,0000088,Hessian fly damage,GWAS_0-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5D02G532100&keyword=%220000088%22
102,TRAESCS7D02G245800,TRAESCS7D02G245800,0000088,Hessian fly damage,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7D02G245800&keyword=%220000088%22
103,TRAESCS7A02G095300,WHY1,0000088,Hessian fly damage,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7A02G095300&keyword=%220000088%22
104,TRAESCS4A02G395700,WHY1,0000088,Hessian fly damage,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4A02G395700&keyword=%220000088%22
105,TRAESCS7D02G091500,WHY3,0000088,Hessian fly damage,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7D02G091500&keyword=%220000088%22
106,TRAESCS2D02G290500,TRAESCS2D02G290500,0000127,Frost damage,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2D02G290500&keyword=%220000127%22
107,TRAESCS5A02G442200,ATKRS-1,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5A02G442200&keyword=%220000281%22
108,TRAESCS5B02G446300,ATKRS-1,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5B02G446300&keyword=%220000281%22
109,TRAESCS6B02G124000,MAA3,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6B02G124000&keyword=%220000281%22
110,TRAESCS2A02G464300,NUCL2,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2A02G464300&keyword=%220000281%22
111,TRAESCS6D02G267300,OLI2,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6D02G267300&keyword=%220000281%22
112,TRAESCS5A02G114400,RH5,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5A02G114400&keyword=%220000281%22
113,TRAESCS2A02G066100,RPS6A,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2A02G066100&keyword=%220000281%22
114,TRAESCS2A02G131800,RPS9M,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2A02G131800&keyword=%220000281%22
115,TRAESCS5B02G219100,TIF3C1,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5B02G219100&keyword=%220000281%22
116,TRAESCS5A02G220000,TIF3C2,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5A02G220000&keyword=%220000281%22
117,TRAESCS5D02G228100,TIF3C2,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5D02G228100&keyword=%220000281%22
118,TRAESCS1A02G389100,TRAESCS1A02G389100,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS1A02G389100&keyword=%220000281%22
119,TRAESCS1D02G018400,TRAESCS1D02G018400,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS1D02G018400&keyword=%220000281%22
120,TRAESCS2A02G223200,TRAESCS2A02G223200,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2A02G223200&keyword=%220000281%22
121,TRAESCS2D02G291500,TRAESCS2D02G291500,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2D02G291500&keyword=%220000281%22
122,TRAESCS4B02G020000,TRAESCS4B02G020000,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4B02G020000&keyword=%220000281%22
123,TRAESCS5A02G256700,TRAESCS5A02G256700,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5A02G256700&keyword=%220000281%22
124,TRAESCS5A02G469400,TRAESCS5A02G469400,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5A02G469400&keyword=%220000281%22
125,TRAESCS6A02G216600,TRAESCS6A02G216600,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6A02G216600&keyword=%220000281%22
126,TRAESCS6A02G221000,TRAESCS6A02G221000,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6A02G221000&keyword=%220000281%22
127,TRAESCS6B02G217500,TRAESCS6B02G217500,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6B02G217500&keyword=%220000281%22
128,TRAESCS6D02G187500,TRAESCS6D02G187500,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6D02G187500&keyword=%220000281%22
129,TRAESCS6D02G214200,TRAESCS6D02G214200,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6D02G214200&keyword=%220000281%22
130,TRAESCS7A02G062100,TRAESCS7A02G062100,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7A02G062100&keyword=%220000281%22
131,TRAESCS7A02G102400,TRAESCS7A02G102400,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7A02G102400&keyword=%220000281%22
132,TRAESCS7B02G209800,TRAESCS7B02G209800,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7B02G209800&keyword=%220000281%22
133,TRAESCSU02G031700,TRAESCSU02G031700,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCSU02G031700&keyword=%220000281%22
134,TRAESCS6D02G136200,WRKY60,0000281,Common bunt spike incidence,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6D02G136200&keyword=%220000281%22
135,TRAESCS2D02G150400,4CL1,TO_0000004,reversible male sterility,TM_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2D02G150400&keyword=%22TO:0000004%22
136,TRAESCS2A02G145800,4CL1,TO_0000004,reversible male sterility,TM_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2A02G145800&keyword=%22TO:0000004%22
137,TRAESCS5D02G436000,AAO3,TO_0000004,reversible male sterility,TM_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5D02G436000&keyword=%22TO:0000004%22
138,TRAESCS7A02G119000,ABCC10,TO_0000004,reversible male sterility,TM_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7A02G119000&keyword=%22TO:0000004%22
139,TRAESCS4B02G071900,AMC3,TO_0000004,reversible male sterility,TM_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4B02G071900&keyword=%22TO:0000004%22
140,TRAESCS7A02G089600,ATACA8,TO_0000004,reversible male sterility,TM_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7A02G089600&keyword=%22TO:0000004%22
141,TRAESCS3D02G141500,ATHB-15,TO_0000004,reversible male sterility,TM_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3D02G141500&keyword=%22TO:0000004%22
142,TRAESCS7B02G061100,ATL60,TO_0000004,reversible male sterility,TM_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7B02G061100&keyword=%22TO:0000004%22
143,TRAESCS6B02G292500,ATMYB63,TO_0000004,reversible male sterility,TM_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS6B02G292500&keyword=%22TO:0000004%22
144,TRAESCS7D02G161800,AZF1,TO_0000004,reversible male sterility,TM_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7D02G161800&keyword=%22TO:0000004%22
145,TRAESCS7A02G160700,AZF3,TO_0000004,reversible male sterility,TM_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7A02G160700&keyword=%22TO:0000004%22
146,TRAESCS7B02G065700,AZF3,TO_0000004,reversible male sterility,TM_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7B02G065700&keyword=%22TO:0000004%22
147,TRAESCS2B02G236900,B120,TO_0000004,reversible male sterility,TM_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2B02G236900&keyword=%22TO:0000004%22
148,TRAESCS2D02G217500,B120,TO_0000004,reversible male sterility,TM_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2D02G217500&keyword=%22TO:0000004%22
149,TRAESCSU02G051900,BG1,TO_0000004,reversible male sterility,TM_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCSU02G051900&keyword=%22TO:0000004%22
